INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (0,'Travon Isai','Travon_Isai@gmail.com',12)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (21,'Elmina Jennette','Elmina_Jennette@gmail.com',40)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (22,'Marian Jonnie','Marian_Jonnie@gmail.com',14)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (23,'Agnes Lillian','Agnes_Lillian@gmail.com',14)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (24,'Lurline Emma','Lurline_Emma@gmail.com',34)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (25,'Rayburn Ingram','Rayburn_Ingram@gmail.com',35)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (26,'Bernice Bambi','Bernice_Bambi@gmail.com',24)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (27,'Eustace Alwin','Eustace_Alwin@gmail.com',18)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (28,'Renard Shawnee','Renard_Shawnee@gmail.com',28)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (29,'Brandy Zada','Brandy_Zada@gmail.com',11)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (30,'Treasure Rogers','Treasure_Rogers@gmail.com',12)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (31,'Kristan Brenden','Kristan_Brenden@gmail.com',14)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (32,'Amasa Elisa','Amasa_Elisa@gmail.com',34)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (33,'Harvie Deante','Harvie_Deante@gmail.com',4)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (34,'Susann Donell','Susann_Donell@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (35,'Margarett Dan','Margarett_Dan@gmail.com',9)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (36,'Almeda Lavelle','Almeda_Lavelle@gmail.com',5)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (37,'Georgiann Jazlene','Georgiann_Jazlene@gmail.com',28)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (38,'Jerilynn German','Jerilynn_German@gmail.com',38)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (39,'Sunny Eliezer','Sunny_Eliezer@gmail.com',38)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (40,'Nikolas Ashlynn','Nikolas_Ashlynn@gmail.com',27)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (41,'Brigitte Avis','Brigitte_Avis@gmail.com',27)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (42,'Vernell Vanessa','Vernell_Vanessa@gmail.com',6)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (43,'Kandi Moesha','Kandi_Moesha@gmail.com',14)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (44,'Jayden Vernal','Jayden_Vernal@gmail.com',18)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (45,'Fabiola Eugene','Fabiola_Eugene@gmail.com',12)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (46,'Lilie Camisha','Lilie_Camisha@gmail.com',9)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (47,'Marquise Demetrius','Marquise_Demetrius@gmail.com',9)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (48,'Abdullah Jedidiah','Abdullah_Jedidiah@gmail.com',40)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (49,'Kolton Myron','Kolton_Myron@gmail.com',20)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (50,'Vance Darnell','Vance_Darnell@gmail.com',2)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (51,'Anya Harry','Anya_Harry@gmail.com',35)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (52,'Albertha Lark','Albertha_Lark@gmail.com',22)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (53,'Judith Audra','Judith_Audra@gmail.com',9)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (54,'Amey Octave','Amey_Octave@gmail.com',1)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (55,'Latonia Masao','Latonia_Masao@gmail.com',31)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (56,'Homer Eulalie','Homer_Eulalie@gmail.com',10)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (57,'Honora Kristie','Honora_Kristie@gmail.com',21)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (58,'Zoa Theda','Zoa_Theda@gmail.com',0)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (59,'Soledad Charmaine','Soledad_Charmaine@gmail.com',39)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (60,'Eston Kale','Eston_Kale@gmail.com',7)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (61,'Carlo Daisy','Carlo_Daisy@gmail.com',21)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (62,'Benito Maxine','Benito_Maxine@gmail.com',31)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (63,'Rosalind Eartha','Rosalind_Eartha@gmail.com',18)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (64,'Pleas Adell','Pleas_Adell@gmail.com',0)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (65,'Jacques Kassandra','Jacques_Kassandra@gmail.com',10)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (66,'Katrina Roselyn','Katrina_Roselyn@gmail.com',8)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (67,'Pranav Michelle','Pranav_Michelle@gmail.com',42)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (68,'Janay Tammi','Janay_Tammi@gmail.com',27)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (69,'Henrietta Brittnay','Henrietta_Brittnay@gmail.com',15)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (70,'Alize Hettie','Alize_Hettie@gmail.com',23)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (71,'Grayling Deb','Grayling_Deb@gmail.com',6)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (72,'Rachel Daisha','Rachel_Daisha@gmail.com',9)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (73,'Gianna Olen','Gianna_Olen@gmail.com',5)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (74,'Irena Miranda','Irena_Miranda@gmail.com',37)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (75,'Theresa Morris','Theresa_Morris@gmail.com',13)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (76,'Julien Stevie','Julien_Stevie@gmail.com',2)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (77,'Callie Wyatt','Callie_Wyatt@gmail.com',33)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (78,'Edsel Glynis','Edsel_Glynis@gmail.com',21)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (79,'Chalmers Lambert','Chalmers_Lambert@gmail.com',34)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (80,'Tawanna Deandre','Tawanna_Deandre@gmail.com',15)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (81,'Shelbie Brendan','Shelbie_Brendan@gmail.com',23)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (82,'Leo Britney','Leo_Britney@gmail.com',25)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (83,'Norene Michaela','Norene_Michaela@gmail.com',21)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (84,'Christopher Iza','Christopher_Iza@gmail.com',31)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (85,'Kesha Adamaris','Kesha_Adamaris@gmail.com',28)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (86,'Shawanda Jayvon','Shawanda_Jayvon@gmail.com',30)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (87,'Grafton Ieshia','Grafton_Ieshia@gmail.com',33)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (88,'Chasity Noe','Chasity_Noe@gmail.com',25)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (89,'Donell Glenn','Donell_Glenn@gmail.com',20)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (90,'Tatiana Jayson','Tatiana_Jayson@gmail.com',28)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (91,'Halsey Madonna','Halsey_Madonna@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (92,'Marian Dillie','Marian_Dillie@gmail.com',35)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (93,'Kassie Louetta','Kassie_Louetta@gmail.com',31)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (94,'Kayli Leilani','Kayli_Leilani@gmail.com',40)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (95,'Makaila Burns','Makaila_Burns@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (96,'Daja Gertrude','Daja_Gertrude@gmail.com',30)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (97,'Lawanda Guillermo','Lawanda_Guillermo@gmail.com',36)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (98,'Leigh Chandra','Leigh_Chandra@gmail.com',34)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (99,'West Naomi','West_Naomi@gmail.com',13)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (100,'Frona Hence','Frona_Hence@gmail.com',1)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (101,'Arther Treyton','Arther_Treyton@gmail.com',19)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (102,'Rolando Ivonne','Rolando_Ivonne@gmail.com',29)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (103,'Sienna Buddie','Sienna_Buddie@gmail.com',8)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (104,'Therman Rosanna','Therman_Rosanna@gmail.com',19)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (105,'Katelin Tate','Katelin_Tate@gmail.com',15)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (106,'Ambers Donal','Ambers_Donal@gmail.com',19)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (107,'Kailey Eric','Kailey_Eric@gmail.com',42)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (108,'Luciano Lanita','Luciano_Lanita@gmail.com',38)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (109,'Shavonne Graciela','Shavonne_Graciela@gmail.com',36)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (110,'Lavonia Karel','Lavonia_Karel@gmail.com',32)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (111,'Zaria Kenzie','Zaria_Kenzie@gmail.com',9)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (112,'Sabra Corbin','Sabra_Corbin@gmail.com',20)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (113,'Bernita Walter','Bernita_Walter@gmail.com',13)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (114,'Allan Fay','Allan_Fay@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (115,'Chanie Elton','Chanie_Elton@gmail.com',7)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (116,'Ellwood Pam','Ellwood_Pam@gmail.com',34)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (117,'Jolette Casper','Jolette_Casper@gmail.com',24)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (118,'Brayan Troy','Brayan_Troy@gmail.com',21)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (119,'Ivory Athena','Ivory_Athena@gmail.com',1)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (120,'Keith Prudie','Keith_Prudie@gmail.com',35)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (121,'Kayden Orrin','Kayden_Orrin@gmail.com',38)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (122,'Montel Shoji','Montel_Shoji@gmail.com',35)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (123,'Glenwood Noretta','Glenwood_Noretta@gmail.com',15)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (124,'Ozella Shirlene','Ozella_Shirlene@gmail.com',14)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (125,'Donell Rudy','Donell_Rudy@gmail.com',29)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (126,'Hildegarde Heidi','Hildegarde_Heidi@gmail.com',6)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (127,'Kimora Elzy','Kimora_Elzy@gmail.com',29)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (128,'Page Jaye','Page_Jaye@gmail.com',36)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (129,'Venie Mcarthur','Venie_Mcarthur@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (130,'Jabari Dell','Jabari_Dell@gmail.com',24)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (131,'Marion Hence','Marion_Hence@gmail.com',42)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (132,'Colter Thomasina','Colter_Thomasina@gmail.com',6)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (133,'Isabel Florie','Isabel_Florie@gmail.com',9)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (134,'Genie Rayburn','Genie_Rayburn@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (135,'Danielle Malcolm','Danielle_Malcolm@gmail.com',36)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (136,'Loretto Wiley','Loretto_Wiley@gmail.com',12)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (137,'Tatsuo Eino','Tatsuo_Eino@gmail.com',37)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (138,'Kathlyn Sabastian','Kathlyn_Sabastian@gmail.com',18)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (139,'Kamren Lorayne','Kamren_Lorayne@gmail.com',22)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (140,'Aria Debby','Aria_Debby@gmail.com',17)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (141,'Elva Shae','Elva_Shae@gmail.com',40)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (142,'Sabina Shaniya','Sabina_Shaniya@gmail.com',24)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (143,'Pansy Bina','Pansy_Bina@gmail.com',17)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (144,'Kunta Alfreda','Kunta_Alfreda@gmail.com',16)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (145,'Bradyn Eleanor','Bradyn_Eleanor@gmail.com',1)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (146,'Tiesha Sharonda','Tiesha_Sharonda@gmail.com',6)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (147,'Jeri Treasure','Jeri_Treasure@gmail.com',33)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (148,'Darius Domenick','Darius_Domenick@gmail.com',23)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (149,'Fritz Dwan','Fritz_Dwan@gmail.com',5)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (150,'Dewitt Arletta','Dewitt_Arletta@gmail.com',35)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (151,'Colton Berkley','Colton_Berkley@gmail.com',20)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (152,'Elia Brooks','Elia_Brooks@gmail.com',5)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (153,'Aron Khalilah','Aron_Khalilah@gmail.com',41)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (154,'Spring Mikaila','Spring_Mikaila@gmail.com',13)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (155,'Paris Isiah','Paris_Isiah@gmail.com',23)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (156,'Roxanna Chadrick','Roxanna_Chadrick@gmail.com',18)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (157,'Esco Corry','Esco_Corry@gmail.com',31)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (158,'Tory Candace','Tory_Candace@gmail.com',10)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (159,'Farrell Medora','Farrell_Medora@gmail.com',11)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (160,'Heaven Floy','Heaven_Floy@gmail.com',19)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (161,'Araminta Brittnie','Araminta_Brittnie@gmail.com',33)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (162,'Melissa Murdock','Melissa_Murdock@gmail.com',16)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (163,'Hetty Leif','Hetty_Leif@gmail.com',35)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (164,'Malissie Berneice','Malissie_Berneice@gmail.com',24)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (165,'Tobin Creola','Tobin_Creola@gmail.com',14)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (166,'Lorinda Mina','Lorinda_Mina@gmail.com',38)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (167,'Sergio Sing','Sergio_Sing@gmail.com',39)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (168,'Janice Offie','Janice_Offie@gmail.com',23)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (169,'Norman Brandyn','Norman_Brandyn@gmail.com',38)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (170,'Josefa Kacy','Josefa_Kacy@gmail.com',37)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (171,'Kaylen Kathlyn','Kaylen_Kathlyn@gmail.com',38)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (172,'Newt Alonzo','Newt_Alonzo@gmail.com',37)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (173,'Colvin Theresia','Colvin_Theresia@gmail.com',1)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (174,'Karl Deann','Karl_Deann@gmail.com',11)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (175,'Burnice Lauri','Burnice_Lauri@gmail.com',16)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (176,'Colette Jamin','Colette_Jamin@gmail.com',27)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (177,'Elizbeth Pablo','Elizbeth_Pablo@gmail.com',31)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (178,'Efren Brady','Efren_Brady@gmail.com',26)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (179,'Dottie Alanzo','Dottie_Alanzo@gmail.com',13)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (180,'Trudy Hermann','Trudy_Hermann@gmail.com',31)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (181,'Jaeda Eloise','Jaeda_Eloise@gmail.com',29)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (182,'Lamonte Brinda','Lamonte_Brinda@gmail.com',42)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (183,'Adalynn Contina','Adalynn_Contina@gmail.com',24)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (184,'Angele Alvera','Angele_Alvera@gmail.com',0)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (185,'Lazaro Amil','Lazaro_Amil@gmail.com',34)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (186,'Sharen Jaheim','Sharen_Jaheim@gmail.com',13)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (187,'Eathel Tinie','Eathel_Tinie@gmail.com',10)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (188,'Laraine Jarett','Laraine_Jarett@gmail.com',34)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (189,'Renita Hays','Renita_Hays@gmail.com',20)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (190,'Zetta Clara','Zetta_Clara@gmail.com',8)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (191,'Laura Jonathon','Laura_Jonathon@gmail.com',14)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (192,'Coty Eli','Coty_Eli@gmail.com',0)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (193,'Kathey Egbert','Kathey_Egbert@gmail.com',10)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (194,'Caitlynn Seth','Caitlynn_Seth@gmail.com',2)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (195,'Guy Leone','Guy_Leone@gmail.com',2)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (196,'Pershing Chauncey','Pershing_Chauncey@gmail.com',40)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (197,'Harper Ingram','Harper_Ingram@gmail.com',18)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (198,'Lilian Raymon','Lilian_Raymon@gmail.com',30)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (199,'Ingrid Haven','Ingrid_Haven@gmail.com',32)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (200,'Tea Julianna','Tea_Julianna@gmail.com',5)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (201,'Jaycee Raquan','Jaycee_Raquan@gmail.com',11)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (202,'Spenser Gottlieb','Spenser_Gottlieb@gmail.com',25)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (203,'Baylee Rosalind','Baylee_Rosalind@gmail.com',5)
INSERT INTO Vendedor (Id, Nome, Email, LocalizacaoId) VALUES (204,'Elsie Rhett','Elsie_Rhett@gmail.com',7)
